OBJECTID,NOME STRUTTURA,DESCRIZIONE,TIPO ATTIVITA',TIPO STRUTTURA,PRONTO SOCCORSO,PRONTO SOCCORSO PEDIATRICO,PUNTO DI PRIMO INTERVENTO,STRUTTURA  ACCREDITATA,INDIRIZZO,CAP,COMUNE,PROVINCIA,CODICE ATS,ATS,CODICE ASST,ASST,CODICE DISTRETTO SANITARIO,DISTRETTO SANITARIO,N° TELEFONO,LATITUDINE,LONGITUDINE
70,P.O. "CITTA' DI S.GIOVANNI"-NEUROPSICHIATRIA INFANTILE-1 (U.O.N.P.I.A COLOGNO MONZESE),STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA GIOVANNI BOCCACCIO,12,20093,COLOGNO MONZESE,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030707,ASST NORD MILANO,815,SESTO SAN GIOVANNI,0257991,45.53465,9.28077
71,SRP3 CPB - COMUNITA' PROTETTA BASSA ASSISTENZA,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA FIUME,37,20099,SESTO SAN GIOVANNI,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030707,ASST NORD MILANO,815,SESTO SAN GIOVANNI,0257997562,45.5232567,9.2263416
72,POLIAMBULATORIO VIA PUECHER,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIANCARLO PUECHER,7/9,20127,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,811,MUNICIPIO 2,0257997500,45.5033184,9.2231798
73,CENTRO DIURNO MARELLI,CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIALE ERCOLE MARELLI,225,20099,SESTO SAN GIOVANNI,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030707,ASST NORD MILANO,815,SESTO SAN GIOVANNI,0257997562,45.52863,9.22969
74,U.O.N.P.I.A. SEDE AMBULATORIALE CERNUSCO S/N,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,PIAZZA BRUGOLA ANGOLO PIO X,20063,CERNUSCO SUL NAVIGLIO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,806,CERNUSCO S/N,0292101090,45.52464,9.33056
75,UOP - AMB. MELEGNANO,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA VIII GIUGNO,65/67,20077,MELEGNANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,825,SAN GIULIANO MILANESE,0298128515,45.3539099,9.3234163
76,U.O.N.P.I.A. SEDE AMBULATORIALE MELZO,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA MANTOVA,10,20066,MELZO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,820,MELZO,0295722776,45.4963925,9.4270682
77,U.O.N.P.I.A. SEDE AMBULATORIALE PAULLO,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE MAZZINI,17,20067,PAULLO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,821,PAULLO,0290633558,45.4166746,9.3991525
78,MEDICINA DELLO SPORT PIOLTELLO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIALE SAN FRANCESCO,16,20096,PIOLTELLO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,822,PIOLTELLO,0292654027,45.4974838,9.3221192
79,CENTRO MEDICINA SPORTIVA S.DONATO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA SERGNANO,2,20097,SAN DONATO MILANESE,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,825,SAN GIULIANO MILANESE,0298115958,45.42036,9.26225
80,AMBULATORIO SPECIAL. COMERIO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA STAZIONE,6,21025,COMERIO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332745693,45.8392508,8.7470802
81,POLIAMB. DI LAVENA PONTE TRESA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ARGINE DOVRANA,12,21037,LAVENA PONTE TRESA,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,836,LUINO,0332550183,45.96591,8.85286
82,PRESIDIO DI VARESE (OSP FILIPPO DEL PONTE)-NEUROPSICHIATRIA INFANTILE-1 (UONPIA CENTRO RIABILITATIVO VELATE),STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA PIATTI,10,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332824725,45.81475,8.83013
83,C.P.S. AZZATE,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ACQUADRO,4,21022,AZZATE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,828,AZZATE,0332393750,45.7788237,8.7982712
84,CENTRO PSICO SOCIALE - LUINO,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA VOLDOMINO,25,21016,LUINO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,836,LUINO,0332539381,45.9974967,8.7444373
85,CONSULTORIO DI MALNATE,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,PIAZZA LIBERTA',1,21046,MALNATE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332/277840,45.80134,8.88115
86,LABORATORIO DI SANITA' PUBBLICA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA DEI CAMPIGLI,5,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332/277104,45.8187,8.81227
87,NEUROPSICH. INF.-MARIANO C.,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA ISONZO,42 B,22066,MARIANO COMENSE,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,031799383,45.6911,9.18546
88,AMBULATORIO PSICH. NOVEDRATE,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA TAVERNA,3,22060,NOVEDRATE,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,031790615,45.6989851,9.1205674
89,NEUROPSICH. INF.-OLGIATE C.,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,PIAZZA ITALIA,8,22077,OLGIATE COMASCO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,0319843936,45.78367,8.96724
90,SERVIZIO MEDICINA SPORT,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA NAPOLEONA,60,22100,COMO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,0315855590,45.79022,9.09
91,AMBULATORIO PSICHIATRICO MARIANO COMENSE,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA CESARE BATTISTI,34,22066,MARIANO COMENSE,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,031755401,45.6911185,9.1844108
92,CAD/CAL DI VIA NAPOLEONA,CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,VIA NAPOLEONA,60,22100,COMO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,0315855531,45.79022,9.09
93,VILLA SANTA MARIA,TERAPEUTICO-RIABILITATIVA NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA IV NOVEMBRE,15,22038,TAVERNERIO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,031426042,45.80291,9.14905
94,CENTRO DIURNO VILLA SAN BENEDETTO,CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA ROMA,16,22032,ALBESE CON CASSANO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,0314291511,45.79717,9.16198
95,AMB. PSICHIATRICO CERMENATE,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE GARIBALDI,8/10,22072,CERMENATE,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,031770763,45.7019462,9.082306
96,SRP1 - C.R.A. - LONGONE AL SEGRINO (SR),COMUNITA' RIABILITATIVA PSICHIATRICA AD ALTA ASSISTENZA,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA BELDOSSO,1,22030,LONGONE AL SEGRINO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,0316330562,45.8172857,9.254204
97,CENTRO MED.SPORT ASL SONDRIO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA NAZARIO SAURO,38,23100,SONDRIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,847,SONDRIO,0342555773,46.16832,9.87437
98,LABORATORIO DI SANITA' PUBBLICA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA STELVIO,35/A,23100,SONDRIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,847,SONDRIO,0342555429,46.17027348,9.89587639
99,CENTRO MED. SPORT MORBEGNO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA EUGENIO MORELLI,1,23017,MORBEGNO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,846,MORBEGNO,0342607111,46.13389,9.57433
100,SRP3 - COMUNITA' PROTETTA A BASSA PROTEZIONE DI MESE,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA CROLLALANZA,5,23020,MESE,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,844,CHIAVENNA,034348072,46.3061931,9.383589
101,SRP3 - COMUNITA' PROTETTA BASSA PROTEZIONE DI SONDRIO,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,PIAZZALE GIOVANNI BERTACCHI,4,23100,SONDRIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,847,SONDRIO,0342210563,46.16819,9.87209
102,CPS AMBULATORIO DARFO,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA CERCOVI,8,25047,DARFO BOARIO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364540111,45.8766713,10.180621
103,CPS AMBULATORIO EDOLO,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA PORRO,120,25048,EDOLO,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,036471568,46.18032,10.32663
104,C.P.S. - MERATE,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE PARINI,8,23807,MERATE,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,854,MERATE,0399902299,45.6991524,9.4146249
105,C.A.L. - OGGIONO,CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,VIA VITTORIO BACHELET,9,23848,OGGIONO,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,853,LECCO,0341489845,45.79038,9.33795
106,C.R.A. - CERNUSCO L. (SR),COMUNITA' RIABILITATIVA PSICHIATRICA AD ALTA ASSISTENZA,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA SAN DIONIGI,7,23870,CERNUSCO LOMBARDONE,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,854,MERATE,0399901216,45.6932336,9.3922492
107,AMB. PSICHIATRIA - INTROBIO,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ALLE PRADE,23815,INTROBIO,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,850,BELLANO,0341983321,45.97282,9.44675
108,CONSULTORIO FAM. BOITO MONZA,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA ARRIGO BOITO,2,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,0392335102,45.59254,9.26268
109,U.O.MALATTIE SESSUALMENTE TRASMESSE - MUGGIO' -SMPC,U.O. MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PUBBLICA,N/A,N/A,N/A,SI,VIA DANTE ALIGHIERI,20835,MUGGIO',MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0391111,45.58984,9.21317
110,UONPI - AMB.EXTRAOSP. VAREDO,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA SAN GIUSEPPE,13,20814,VAREDO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0392334510,45.5984476,9.1554359
111,CONSULTORIO FAM. VILLASANTA,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,PIAZZETTA BATTISTA ERBA,12,20852,VILLASANTA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,0392334528,45.60393,9.30079
112,CENTRO SEMIRESIDENZIALE TERAPEUTICO PER ADOLESCENTI DI DESIO,TERAPEUTICO-RIABILITATIVA NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA ALBERTO GABELLINI,22,20832,DESIO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,03622337579,45.6226,9.20625
113,AMBULATORIO EXTRAOSPEDALIERO - VAREDO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA SAN GIUSEPPE,13,20814,VAREDO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362383217,45.5984476,9.1554359
114,UONPI - AMB.EXTRAOSP. BOVISIO,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA CESARE CANTU',7,20813,BOVISIO-MASCIAGO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362383952,45.60987,9.14574
115,CONSULTORIO FAM. BRUGHERIO,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIALE LOMBARDIA,270,20861,BRUGHERIO,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,0392334529,45.55723,9.30116
116,UONPIA SEDE AMBULATORIALE BRUGHERIO,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIALE LOMBARDIA,270,20861,BRUGHERIO,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,039-8899201,45.55723,9.30116
117,UONPI - AMB.EXTRAOSP. CESANO M,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA SAN CARLO BORROMEO,2,20811,CESANO MADERNO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362383716,45.6308107,9.145684
118,CENTRO DIURNO DI PSICHIATRIA "AQUARIUS",CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MONTEGRAPPA,19,20182,LIMBIATE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0299456032,45.61114,9.12435
119,CENTRO RESIDENZIALE DI PSICHIATRIA CORBERI NUCLEO "OSPEDALIERO",AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MONTE GRAPPA,19,20812,LIMBIATE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0299456032,45.61114,9.12435
120,CENTRO DIURNO DI PSICHIATRIA CORBERI "OSPEDALIERO",CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MONTEGRAPPA,19,20182,LIMBIATE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0299456032,45.61114,9.12435
121,CENTRO RESIDENZIALE DI PSICHIATRIA CORBERI NUCLEO "MONTESSORI",AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MONTEGRAPPA,19,20812,LIMBIATE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0299456032,45.61114,9.12435
122,CONSULTORIO FAM. CARATE B.,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE MASCHERPA,14,20841,CARATE BRIANZA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,0362826435,45.6714473,9.2317896
123,CONSULTORIO FAM. CONCOREZZO,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA SANTA MARTA,10,20863,CONCOREZZO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,0396203195,45.589995,9.33631699
124,CONSULTORIO FAMILIARE - MEDA,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA ROMA,2,20821,MEDA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,0362245012,45.6619208,9.156068
125,CONSULTORIO FAMILIARE -SEVESO,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA MARTIRI D'UNGHERIA,30,20822,SEVESO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,0362645107,45.6515144,9.134995
126,U.O.MALATTIE SESSUALMENTE TRASMESSE- USMATE- SMPC,U.O. MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PUBBLICA,N/A,N/A,N/A,SI,VIA BANFI,6,20865,USMATE VELATE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,0396288008,45.65037,9.35443
127,CONSULTORIO FAMILIARE -ARCORE,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA UMBERTO I,17,20862,ARCORE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,039 6188224,45.6273036,9.3241136
128,CONSULTORIO FAMILIARE -LENTATE,CONSULTORIO,ASSISTENZA TERRITORIALE,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE GARIBALDI,35,20823,LENTATE SUL SEVESO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,0362  566867,45.6774761,9.1193211
129,LABORATORIO DI SANITA' PUBBLICA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA BORGO PALAZZO,130,24125,BERGAMO,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,859,BERGAMO,0352270663,45.69284586,9.69678711
130,AMBULATORIO PSICHIATRICO DI BREMBATE DI SOPRA,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,PIAZZA PAPA GIOVANNI PAOLO II,47,24030,BREMBATE DI SOPRA,BG,030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,862,ISOLA BERGAMASCA,0356220923,45.72037,9.5844
131,AMB.PSICHIATRICO DI CARAVAGGIO,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,LARGO DONATORI DI SANGUE,1,24043,CARAVAGGIO,BG,030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,858,BASSA BERGAMASCA,0363 351756,45.49545,9.64613
132,U.O.N.P.I.- LOVERE,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,PIAZZALE BONOMELLI,24065,LOVERE,BG,030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,861,EST PROVINCIA,0354349613,45.81815,10.07274
133,CENTRO DIURNO - SARNICO,CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA FACCANONI,6,24067,SARNICO,BG,030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,861,EST PROVINCIA,035918111,45.67039,9.95526
134,SRP 3-CPB-8-V.MICHELANGELO 108 5P BS,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MICHELANGELO,108-5 P.DONNE,25124,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,0302311731,45.5137235,10.2469301
135,SRP 2-CPM-6-VIA FORO BOARIO 2 BS,COMUNITA' PROTETTA PSICHIATRICA MEDIA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA FORO BOARIO,2,25124,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,0302423242,45.5276,10.23456
136,PRESIDIO OSPEDALIERO DI GARDONE V.T.-POLIAMBULATORIO-1 (POLIAMBUL. - P.O.GARDONE V/T),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA PAPA GIOVANNI XXIII,4,25063,GARDONE VAL TROMPIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,876,VALLE TROMPIA,0308933274,45.6765932,10.1838145
137,PRESIDIO OSPEDALIERO DI GARDONE V.T.-POLIAMBULATORIO-4 (POLIAMBULATORIO DI NAVE),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA BRESCIA,155/L P.ZZA GIOVANNI PAOLO II,25075,NAVE,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,876,VALLE TROMPIA,03089331,45.5840638,10.2790514
138,PRESIDIO OSPEDALIERO DI GARDONE V.T.-POLIAMBULATORIO-2 (POLIAMBULATORIO DI LUMEZZANE),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VILL.GIO GNUTTI,4/C,25065,LUMEZZANE,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,876,VALLE TROMPIA,03089331,45.64998,10.25996
139,AMBULATORIO GUSSAGO - ARTICOLAZIONE CPS 2 - 3° CPS,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA PAOLO RICHIEDEI,8/B,25064,GUSSAGO,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,870,BRESCIA OVEST,0302771528,45.5909039,10.1533219
140,SRP 2-CPM-5-VIA LIVORNO 68 BS,COMUNITA' PROTETTA PSICHIATRICA MEDIA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA LIVORNO,68,25125,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,0303541412,45.52595,10.17664
